data;ghi;dni;air_temp;relhum;press;windsp;winddir;max_windsp;precipitation
2/1/2014 8:00;0;0;7.32;56.56;1010;1.8;43.61;3.7;0
2/1/2014 9:00;0;0;6.1;61;1010;1.34;338.9;3.1;0
2/1/2014 10:00;0;0;6.64;59.8;1010;2.16;21;2.8;0
2/1/2014 11:00;0;0;6.2;62.8;1010;1.72;34.79;3.1;0
2/1/2014 12:00;0;0;5.96;64.02;1010;2.72;41.39;4;0
2/1/2014 13:00;0;0;4.2;69.8;1009;1.02;179.2;2.5;0
2/1/2014 14:00;0;0;2.56;75.74;1010;1.86;183.2;2.3;0
2/1/2014 15:00;0;0;3.48;73.42;1010;1.72;185.2;2.3;0
2/1/2014 16:00;65.37;475.8;3.4;71.92;1010;1.2;69.25;2.4;0
2/1/2014 17:00;195.5;594.9;9.42;53.86;1010;0.3;87.3;0.5;0
2/1/2014 18:00;334.5;703.9;12.6;44.06;1011;0.4;341.1;0.7;0
2/1/2014 19:00;440.7;834;15.14;37.5;1010;0.5;175.7;0.8;0
2/1/2014 20:00;480.3;861;16.54;32.84;1009;1.08;304.1;1.7;0
2/1/2014 21:00;475;845;17.86;32.72;1008;0.48;332.6;0.9;0
2/1/2014 22:00;416;727.5;18;32.86;1007;1.7;300.8;2.2;0
2/1/2014 23:00;247.2;541.3;18.1;32.82;1007;1.16;315.1;1.7;0
3/1/2014 0:00;89.5;241.1;17.8;33.52;1007;1.64;288.2;2;0
3/1/2014 1:00;0;0;15.7;38.16;1006;0.32;204.1;0.5;0
3/1/2014 2:00;0;0;12.1;47;1006;0.52;137.9;1;0
3/1/2014 3:00;0;0;10.16;53.98;1006;0.36;145;0.8;0
3/1/2014 4:00;0;0;9.26;60.5;1006;1.5;75.8;2;0
3/1/2014 5:00;0;0;8.62;61.38;1006;0.9;104.2;1.8;0
3/1/2014 6:00;0;0;8.28;62.22;1006;1.06;84.2;1.7;0
3/1/2014 7:00;0;0;7.68;63.72;1007;0.82;280.2;1.7;0
3/1/2014 8:00;0;0;5.8;70;1006;1.56;70.8;2.2;0
3/1/2014 9:00;0;0;7.3;64.9;1006;2.04;68.61;2.8;0
3/1/2014 10:00;0;0;7;65.18;1006;2.58;31.2;3.4;0
