data;ghi;dni;air_temp;relhum;press;windsp;winddir;max_windsp;precipitation
2/1/2014 8:00;0;0;7.32;56.56;1010;1.8;43.61;3.7;0
2/1/2014 8:30;0;0;6.7;58.9;1010;1.86;46.6;3.4;0
2/1/2014 9:00;0;0;6.1;61;1010;1.34;338.9;3.1;0
2/1/2014 9:30;0;0;6.42;59.74;1010;2.8;50.59;4.3;0
2/1/2014 10:00;0;0;6.64;59.8;1010;2.16;21;2.8;0
2/1/2014 10:30;0;0;6.2;61.8;1010;2.08;46.8;3.2;0
2/1/2014 11:00;0;0;6.2;62.8;1010;1.72;34.79;3.1;0
2/1/2014 11:30;0;0;5.7;63.62;1010;2.42;46.6;3.6;0
2/1/2014 12:00;0;0;5.96;64.02;1010;2.72;41.39;4;0
2/1/2014 12:30;0;0;5.5;64.82;1010;2;63.02;3.2;0
2/1/2014 13:00;0;0;4.2;69.8;1009;1.02;179.2;2.5;0
2/1/2014 13:30;0;0;2.8;73.14;1009;1.9;190.9;2.7;0
2/1/2014 14:00;0;0;2.56;75.74;1010;1.86;183.2;2.3;0
2/1/2014 14:30;0;0;2.96;72.96;1010;2.06;232.5;3.1;0
2/1/2014 15:00;0;0;3.48;73.42;1010;1.72;185.2;2.3;0
2/1/2014 15:30;1.23;0;2.7;75.54;1010;1.78;193.6;2.3;0
2/1/2014 16:00;65.37;475.8;3.4;71.92;1010;1.2;69.25;2.4;0
2/1/2014 16:30;149.7;649;6.02;64.58;1010;0.76;96.4;1.3;0
2/1/2014 17:00;195.5;594.9;9.42;53.86;1010;0.3;87.3;0.5;0
2/1/2014 17:30;244.9;567.6;11.5;46.82;1010;1.02;259.2;1.4;0
2/1/2014 18:00;334.5;703.9;12.6;44.06;1011;0.4;341.1;0.7;0
2/1/2014 18:30;416.3;846;13.14;42.5;1010;0.94;272.2;1.2;0
2/1/2014 19:00;440.7;834;15.14;37.5;1010;0.5;175.7;0.8;0
2/1/2014 19:30;473.4;868;16.5;33.84;1010;0.88;168.7;1.4;0
2/1/2014 20:00;480.3;861;16.54;32.84;1009;1.08;304.1;1.7;0
2/1/2014 20:30;486.4;867;17.24;33.82;1009;0.36;125;0.7;0
2/1/2014 21:00;475;845;17.86;32.72;1008;0.48;332.6;0.9;0
2/1/2014 21:30;435.8;772.5;17.88;32.5;1008;1.92;320.6;2.8;0
2/1/2014 22:00;416;727.5;18;32.86;1007;1.7;300.8;2.2;0
2/1/2014 22:30;348.4;629.9;18.1;32.94;1007;1.26;285.4;2;0
2/1/2014 23:00;247.2;541.3;18.1;32.82;1007;1.16;315.1;1.7;0
2/1/2014 23:30;232.5;648.5;18.1;32.22;1007;1.62;296.4;2;0
3/1/2014 0:00;89.5;241.1;17.8;33.52;1007;1.64;288.2;2;0
3/1/2014 0:30;24.83;30.79;16.92;35.24;1006;1.38;303;1.9;0
3/1/2014 1:00;0;0;15.7;38.16;1006;0.32;204.1;0.5;0
3/1/2014 1:30;0;0;13.4;43.64;1006;0.5;83;0.8;0
3/1/2014 2:00;0;0;12.1;47;1006;0.52;137.9;1;0
3/1/2014 2:30;0;0;10.92;50.4;1006;0.7;94.2;1.4;0
3/1/2014 3:00;0;0;10.16;53.98;1006;0.36;145;0.8;0
3/1/2014 3:30;0;0;10.38;54.9;1006;0.62;124.3;0.9;0
3/1/2014 4:00;0;0;9.26;60.5;1006;1.5;75.8;2;0
3/1/2014 4:30;0;0;7.8;62.34;1006;1.64;64.6;2.3;0
3/1/2014 5:00;0;0;8.62;61.38;1006;0.9;104.2;1.8;0
3/1/2014 5:30;0;0;7.3;66.32;1006;1.5;66.4;2.2;0
3/1/2014 6:00;0;0;8.28;62.22;1006;1.06;84.2;1.7;0
3/1/2014 6:30;0;0;7.52;63.92;1006;0.64;102.2;1.7;0
3/1/2014 7:00;0;0;7.68;63.72;1007;0.82;280.2;1.7;0
3/1/2014 7:30;0;0;7.02;64.6;1007;1.26;72.8;2;0
3/1/2014 8:00;0;0;5.8;70;1006;1.56;70.8;2.2;0
3/1/2014 8:30;0;0;7.5;64.64;1007;1.9;47.8;2.9;0
3/1/2014 9:00;0;0;7.3;64.9;1006;2.04;68.61;2.8;0
3/1/2014 9:30;0;0;6.7;66.5;1006;0.76;102.9;2.1;0
3/1/2014 10:00;0;0;7;65.18;1006;2.58;31.2;3.4;0
3/1/2014 10:30;0;0;7.42;63.38;1006;2.36;51.2;3.2;0
3/1/2014 11:00;0;0;7.3;63.7;1006;1.84;12.2;2.8;0
3/1/2014 11:30;0;0;5.7;69.76;1006;1.64;76.01;2.6;0
3/1/2014 12:00;0;0;5.24;71.58;1006;0.96;115.2;1.7;0
3/1/2014 12:30;0;0;6.78;65.92;1006;2.38;35.8;3.4;0
3/1/2014 13:00;0;0;6.9;64.08;1006;2.02;13.4;3;0
3/1/2014 13:30;0;0;6.8;63.44;1006;2;29.77;3.2;0
3/1/2014 14:00;0;0;6.44;63.92;1006;2.2;26.41;3.8;0
3/1/2014 14:30;0;0;4.88;69.84;1006;1.34;149.1;2;0
3/1/2014 15:00;0;0;5.3;70.18;1006;1.16;127.4;1.6;0
