Hora,Radiación Global Horizontal
12:00:00 a. m.,-0.569
12:03:00 a. m.,-0.251
12:06:00 a. m.,-0.732
12:09:00 a. m.,-1.837
12:12:00 a. m.,-3.046
12:15:00 a. m.,-3.841
12:18:00 a. m.,-4.018
12:21:00 a. m.,-4.192
12:24:00 a. m.,-4.477
12:27:00 a. m.,-4.569
12:30:00 a. m.,-5.109
12:33:00 a. m.,-5.075
12:36:00 a. m.,-4.998
12:39:00 a. m.,-5.7
12:42:00 a. m.,-6.998
12:45:00 a. m.,-7.145
12:48:00 a. m.,-7.755
12:51:00 a. m.,-7.755
12:54:00 a. m.,-8.35
12:57:00 a. m.,-7.545
1:00:00 a. m.,-7.678
1:03:00 a. m.,-6.802
1:06:00 a. m.,-7.16
1:09:00 a. m.,-8.22
1:12:00 a. m.,-8.56
1:15:00 a. m.,-7.8
1:18:00 a. m.,-7.415
1:21:00 a. m.,-7.012
1:24:00 a. m.,-7.73
1:27:00 a. m.,-7.471
1:30:00 a. m.,-8.15
1:33:00 a. m.,-8.31
1:36:00 a. m.,-7.574
1:39:00 a. m.,-7.73
1:42:00 a. m.,-7.763
1:45:00 a. m.,-8.03
1:48:00 a. m.,-8.31
1:51:00 a. m.,-8.21
1:54:00 a. m.,-7.97
1:57:00 a. m.,-8.42
2:00:00 a. m.,-7.582
2:03:00 a. m.,-8.18
2:06:00 a. m.,-7.33
2:09:00 a. m.,-7.401
2:12:00 a. m.,-7.774
2:15:00 a. m.,-7.859
2:18:00 a. m.,-8.11
2:21:00 a. m.,-8.44
2:24:00 a. m.,-8.35
2:27:00 a. m.,-8.23
2:30:00 a. m.,-8.71
2:33:00 a. m.,-8.76
2:36:00 a. m.,-8.58
2:39:00 a. m.,-8.17
2:42:00 a. m.,-8.57
2:45:00 a. m.,-8.8
2:48:00 a. m.,-8.58
2:51:00 a. m.,-8.42
2:54:00 a. m.,-8.41
2:57:00 a. m.,-8.83
3:00:00 a. m.,-8.65
3:03:00 a. m.,-8.59
3:06:00 a. m.,-8.8
3:09:00 a. m.,-8.52
3:12:00 a. m.,-8.66
3:15:00 a. m.,-8.83
3:18:00 a. m.,-8.85
3:21:00 a. m.,-8.98
3:24:00 a. m.,-9.02
3:27:00 a. m.,-8.96
3:30:00 a. m.,-8.63
3:33:00 a. m.,-8.81
3:36:00 a. m.,-8.47
3:39:00 a. m.,-8.37
3:42:00 a. m.,-8.17
3:45:00 a. m.,-7.796
3:48:00 a. m.,-7.781
3:51:00 a. m.,-8.25
3:54:00 a. m.,-8.37
3:57:00 a. m.,-8.41
4:00:00 a. m.,-7.977
4:03:00 a. m.,-7.6
4:06:00 a. m.,-7.556
4:09:00 a. m.,-7.648
4:12:00 a. m.,-7.807
4:15:00 a. m.,-7.571
4:18:00 a. m.,-7.774
4:21:00 a. m.,-7.083
4:24:00 a. m.,-7.19
4:27:00 a. m.,-6.739
4:30:00 a. m.,-6.813
4:33:00 a. m.,-6.865
4:36:00 a. m.,-6.931
4:39:00 a. m.,-7.16
4:42:00 a. m.,-7.645
4:45:00 a. m.,-8
4:48:00 a. m.,-8.41
4:51:00 a. m.,-7.855
4:54:00 a. m.,-7.353
4:57:00 a. m.,-6.935
5:00:00 a. m.,-7.105
5:03:00 a. m.,-6.58
5:06:00 a. m.,-7.127
5:09:00 a. m.,-7.275
5:12:00 a. m.,-7.075
5:15:00 a. m.,-6.643
5:18:00 a. m.,-6.587
5:21:00 a. m.,-6.846
5:24:00 a. m.,-7.282
5:27:00 a. m.,-7.563
5:30:00 a. m.,-7.56
5:33:00 a. m.,-8.05
5:36:00 a. m.,-8.32
5:39:00 a. m.,-8.06
5:42:00 a. m.,-7.841
5:45:00 a. m.,-7.977
5:48:00 a. m.,-8.18
5:51:00 a. m.,-8.23
5:54:00 a. m.,-8.14
5:57:00 a. m.,-8.21
6:00:00 a. m.,-8.41
6:03:00 a. m.,-8.48
6:06:00 a. m.,-8.7
6:09:00 a. m.,-8.81
6:12:00 a. m.,-9.22
6:15:00 a. m.,-9.52
6:18:00 a. m.,-9.8
6:21:00 a. m.,-9.77
6:24:00 a. m.,-9.94
6:27:00 a. m.,-9.99
6:30:00 a. m.,-10.02
6:33:00 a. m.,-10.18
6:36:00 a. m.,-10.05
6:39:00 a. m.,-9.88
6:42:00 a. m.,-9.67
6:45:00 a. m.,-9.96
6:48:00 a. m.,-10
6:51:00 a. m.,-9.97
6:54:00 a. m.,-9.87
6:57:00 a. m.,-10.08
7:00:00 a. m.,-9.91
7:03:00 a. m.,-9.72
7:06:00 a. m.,-9.55
