"Min	glo_avg"
"0	-0.569"
"3	-0.251"
"6	-0.732"
"9	-1.837"
"12	-3.046"
"15	-3.841"
"18	-4.018"
"21	-4.192"
"24	-4.477"
"27	-4.569"
"30	-5.109"
"33	-5.075"
"36	-4.998"
"39	-5.7"
"42	-6.998"
"45	-7.145"
"48	-7.755"
"51	-7.755"
"54	-8.35"
"57	-7.545"
"60	-7.678"
"63	-6.802"
"66	-7.16"
"69	-8.22"
"72	-8.56"
"75	-7.8"
"78	-7.415"
"81	-7.012"
"84	-7.73"
"87	-7.471"
"90	-8.15"
"93	-8.31"
"96	-7.574"
"99	-7.73"
"102	-7.763"
"105	-8.03"
"108	-8.31"
"111	-8.21"
"114	-7.97"
"117	-8.42"
"120	-7.582"
"123	-8.18"
"126	-7.33"
"129	-7.401"
"132	-7.774"
"135	-7.859"
"138	-8.11"
"141	-8.44"
"144	-8.35"
"147	-8.23"
"150	-8.71"
"153	-8.76"
"156	-8.58"
"159	-8.17"
"162	-8.57"
"165	-8.8"
"168	-8.58"
"171	-8.42"
"174	-8.41"
"177	-8.83"
"180	-8.65"
"183	-8.59"
"186	-8.8"
"189	-8.52"
"192	-8.66"
"195	-8.83"
"198	-8.85"
"201	-8.98"
"204	-9.02"
"207	-8.96"
"210	-8.63"
"213	-8.81"
"216	-8.47"
"219	-8.37"
"222	-8.17"
"225	-7.796"
"228	-7.781"
"231	-8.25"
"234	-8.37"
"237	-8.41"
"240	-7.977"
"243	-7.6"
"246	-7.556"
"249	-7.648"
"252	-7.807"
"255	-7.571"
"258	-7.774"
"261	-7.083"
"264	-7.19"
"267	-6.739"
"270	-6.813"
"273	-6.865"
"276	-6.931"
"279	-7.16"
"282	-7.645"
"285	-8"
"288	-8.41"
"291	-7.855"
"294	-7.353"
"297	-6.935"
"300	-7.105"
"303	-6.58"
"306	-7.127"
"309	-7.275"
"312	-7.075"
"315	-6.643"
"318	-6.587"
"321	-6.846"
"324	-7.282"
"327	-7.563"
"330	-7.56"
"333	-8.05"
"336	-8.32"
"339	-8.06"
"342	-7.841"
"345	-7.977"
"348	-8.18"
"351	-8.23"
"354	-8.14"
"357	-8.21"
"360	-8.41"
"363	-8.48"
"366	-8.7"
"369	-8.81"
"372	-9.22"
"375	-9.52"
"378	-9.8"
"381	-9.77"
"384	-9.94"
"387	-9.99"
"390	-10.02"
"393	-10.18"
"396	-10.05"
"399	-9.88"
"402	-9.67"
"405	-9.96"
"408	-10"
"411	-9.97"
"414	-9.87"
"417	-10.08"
"420	-9.91"
"423	-9.72"
"426	-9.55"
"429	-9.16"
"432	-9.33"
"435	-9.18"
"438	-9.37"
"441	-9.4"
"444	-9.56"
"447	-9.71"
"450	-9.84"
"453	-9.59"
"456	-10"
"459	-10.15"
"462	-9.96"
"465	-9.99"
"468	-9.98"
"471	-9.88"
"474	-9.96"
"477	-9.97"
"480	-10.18"
"483	-9.79"
"486	-9.78"
"489	-10.1"
"492	-10.17"
"495	-10.01"
"498	-9.96"
"501	-9.79"
"504	-9.84"
"507	-9.98"
"510	-10.04"
"513	-10.02"
"516	-9.87"
"519	-9.76"
"522	-9.64"
"525	-9.77"
"528	-9.65"
"531	-9.54"
"534	-9.36"
"537	-8.92"
"540	-8.52"
"543	-7.538"
"546	-6.055"
"549	-4.506"
"552	-1.937"
"555	1.926"
"558	5.419"
"561	11.18"
"564	15.88"
"567	19.78"
"570	27.03"
"573	36.55"
"576	45.06"
"579	58.72"
"582	72.65"
"585	95.9"
"588	104.5"
"591	116.4"
"594	126.5"
"597	136"
"600	145.1"
"603	152.1"
"606	160.9"
"609	171.3"
"612	183.7"
"615	195"
"618	208.3"
"621	220.5"
"624	230.7"
"627	243.4"
"630	255.5"
"633	267.6"
"636	282"
"639	296.7"
"642	311.3"
"645	325.3"
"648	335.1"
"651	351.6"
"654	364.4"
"657	376.2"
"660	220.7"
"663	411.1"
"666	481.8"
"669	381"
"672	243.1"
"675	247.7"
