data;ghi;dni
2/1/2014 8:00;0;0
2/1/2014 8:30;0;0
2/1/2014 9:00;0;0
2/1/2014 9:30;0;0
2/1/2014 10:00;0;0
2/1/2014 10:30;0;0
2/1/2014 11:00;0;0
2/1/2014 11:30;0;0
2/1/2014 12:00;0;0
2/1/2014 12:30;0;0
2/1/2014 13:00;0;0
2/1/2014 13:30;0;0
2/1/2014 14:00;0;0
2/1/2014 14:30;0;0
2/1/2014 15:00;0;0
2/1/2014 15:30;1.23;0
2/1/2014 16:00;65.37;475.8
2/1/2014 16:30;149.7;649
2/1/2014 17:00;195.5;594.9
2/1/2014 17:30;244.9;567.6
2/1/2014 18:00;334.5;703.9
2/1/2014 18:30;416.3;846
2/1/2014 19:00;440.7;834
2/1/2014 19:30;473.4;868
2/1/2014 20:00;480.3;861
2/1/2014 20:30;486.4;867
2/1/2014 21:00;475;845
2/1/2014 21:30;435.8;772.5
2/1/2014 22:00;416;727.5
2/1/2014 22:30;348.4;629.9
2/1/2014 23:00;247.2;541.3
2/1/2014 23:30;232.5;648.5
3/1/2014 0:00;89.5;241.1
3/1/2014 0:30;24.83;30.79
3/1/2014 1:00;0;0
3/1/2014 1:30;0;0
3/1/2014 2:00;0;0
3/1/2014 2:30;0;0
3/1/2014 3:00;0;0
3/1/2014 3:30;0;0
3/1/2014 4:00;0;0
3/1/2014 4:30;0;0
3/1/2014 5:00;0;0
3/1/2014 5:30;0;0
3/1/2014 6:00;0;0
3/1/2014 6:30;0;0
3/1/2014 7:00;0;0
3/1/2014 7:30;0;0
3/1/2014 8:00;0;0
3/1/2014 8:30;0;0
3/1/2014 9:00;0;0
3/1/2014 9:30;0;0
3/1/2014 10:00;0;0
3/1/2014 10:30;0;0
3/1/2014 11:00;0;0
3/1/2014 11:30;0;0
3/1/2014 12:00;0;0
3/1/2014 12:30;0;0
3/1/2014 13:00;0;0
3/1/2014 13:30;0;0
3/1/2014 14:00;0;0
3/1/2014 14:30;0;0
3/1/2014 15:00;0;0
3/1/2014 15:30;2.13;0
3/1/2014 16:00;64.26;467.4
3/1/2014 16:30;144.3;641.1
3/1/2014 17:00;222.5;736.4
3/1/2014 17:30;292.4;786.1
3/1/2014 18:00;353.6;819
3/1/2014 18:30;405.8;847
3/1/2014 19:00;445.6;863
3/1/2014 19:30;470.2;866
3/1/2014 20:00;482.5;867
3/1/2014 20:30;479.7;860
3/1/2014 21:00;463;847
3/1/2014 21:30;434.3;834
3/1/2014 22:00;390.7;807
3/1/2014 22:30;335.8;765.4
3/1/2014 23:00;270.2;704.2
3/1/2014 23:30;199.9;635.7
4/1/2014 0:00;132.6;513
4/1/2014 0:30;24.74;30.46
4/1/2014 1:00;0;0
4/1/2014 1:30;0;0
4/1/2014 2:00;0;0
4/1/2014 2:30;0;0
4/1/2014 3:00;0;0
4/1/2014 3:30;0;0
4/1/2014 4:00;0;0
4/1/2014 4:30;0;0
4/1/2014 5:00;0;0
4/1/2014 5:30;0;0
4/1/2014 6:00;0;0
4/1/2014 6:30;0;0
4/1/2014 7:00;0;0
4/1/2014 7:30;0;0
4/1/2014 8:00;0;0
4/1/2014 8:30;0;0
4/1/2014 9:00;0;0
4/1/2014 9:30;0;0
4/1/2014 10:00;0;0
4/1/2014 10:30;0;0
4/1/2014 11:00;0;0
4/1/2014 11:30;0;0
4/1/2014 12:00;0;0
4/1/2014 12:30;0;0
4/1/2014 13:00;0;0
4/1/2014 13:30;0;0
4/1/2014 14:00;0;0
4/1/2014 14:30;0;0
4/1/2014 15:00;0;0
4/1/2014 15:30;2.11;0
4/1/2014 16:00;68.08;517.7
4/1/2014 16:30;149.4;669.1
4/1/2014 17:00;228.1;740.7
4/1/2014 17:30;297.9;784
4/1/2014 18:00;362.1;823
4/1/2014 18:30;415.7;852
4/1/2014 19:00;454.7;864
4/1/2014 19:30;484.5;879
4/1/2014 20:00;499.1;885
4/1/2014 20:30;497.2;879
4/1/2014 21:00;480.3;870
4/1/2014 21:30;452.7;866
4/1/2014 22:00;409.9;844
4/1/2014 22:30;351.7;801
4/1/2014 23:00;286;751.7
4/1/2014 23:30;213;679.7
5/1/2014 0:00;149.8;557.2
5/1/2014 0:30;29.77;29.48
5/1/2014 1:00;0;0
5/1/2014 1:30;0;0
5/1/2014 2:00;0;0
5/1/2014 2:30;0;0
5/1/2014 3:00;0;0
5/1/2014 3:30;0;0
5/1/2014 4:00;0;0
5/1/2014 4:30;0;0
5/1/2014 5:00;0;0
5/1/2014 5:30;0;0
5/1/2014 6:00;0;0
5/1/2014 6:30;0;0
5/1/2014 7:00;0;0
5/1/2014 7:30;0;0
5/1/2014 8:00;0;0
5/1/2014 8:30;0;0
5/1/2014 9:00;0;0
5/1/2014 9:30;0;0
5/1/2014 10:00;0;0
5/1/2014 10:30;0;0
5/1/2014 11:00;0;0
5/1/2014 11:30;0;0
5/1/2014 12:00;0;0
5/1/2014 12:30;0;0
5/1/2014 13:00;0;0
5/1/2014 13:30;0;0
5/1/2014 14:00;0;0
5/1/2014 14:30;0;0
5/1/2014 15:00;0;0
5/1/2014 15:30;2.31;0
5/1/2014 16:00;60;320.4
5/1/2014 16:30;140.8;531.4
5/1/2014 17:00;223.4;666.5
5/1/2014 17:30;292.4;715.7
5/1/2014 18:00;355.5;755.7
5/1/2014 18:30;409.2;787.6
5/1/2014 19:00;448.1;801
5/1/2014 19:30;474;806
5/1/2014 20:00;488.2;811
5/1/2014 20:30;489.8;813
5/1/2014 21:00;468.5;792.3
5/1/2014 21:30;439.4;774.8
5/1/2014 22:00;396.2;754.2
5/1/2014 22:30;337.1;702.9
5/1/2014 23:00;276.5;665.7
5/1/2014 23:30;205.8;600.3
6/1/2014 0:00;143.7;481.2
6/1/2014 0:30;29.65;18.12
6/1/2014 1:00;0;0
6/1/2014 1:30;0;0
6/1/2014 2:00;0;0
6/1/2014 2:30;0;0
6/1/2014 3:00;0;0
6/1/2014 3:30;0;0
6/1/2014 4:00;0;0
6/1/2014 4:30;0;0
6/1/2014 5:00;0;0
6/1/2014 5:30;0;0
6/1/2014 6:00;0;0
6/1/2014 6:30;0;0
6/1/2014 7:00;0;0
6/1/2014 7:30;0;0
6/1/2014 8:00;0;0
6/1/2014 8:30;0;0
6/1/2014 9:00;0;0
6/1/2014 9:30;0;0
6/1/2014 10:00;0;0
6/1/2014 10:30;0;0
6/1/2014 11:00;0;0
6/1/2014 11:30;0;0
6/1/2014 12:00;0;0
6/1/2014 12:30;0;0
6/1/2014 13:00;0;0
6/1/2014 13:30;0;0
6/1/2014 14:00;0;0
6/1/2014 14:30;0;0
6/1/2014 15:00;0;0
6/1/2014 15:30;1.82;0
6/1/2014 16:00;36.19;0
6/1/2014 16:30;83.2;0
6/1/2014 17:00;120.3;5.47
6/1/2014 17:30;210.4;159.3
6/1/2014 18:00;231;52.78
6/1/2014 18:30;296.4;75.24
6/1/2014 19:00;195.4;0
6/1/2014 19:30;231.7;0.06
6/1/2014 20:00;209.9;5.69
6/1/2014 20:30;249;0
6/1/2014 21:00;160.4;0
6/1/2014 21:30;421.9;196.3
6/1/2014 22:00;200.3;0.83
6/1/2014 22:30;199.6;27.54
6/1/2014 23:00;323.4;674
6/1/2014 23:30;83.3;0
7/1/2014 0:00;70.06;0
7/1/2014 0:30;15.92;0
7/1/2014 1:00;0;0
7/1/2014 1:30;0;0
7/1/2014 2:00;0;0
7/1/2014 2:30;0;0
7/1/2014 3:00;0;0
7/1/2014 3:30;0;0
7/1/2014 4:00;0;0
7/1/2014 4:30;0;0
7/1/2014 5:00;0;0
7/1/2014 5:30;0;0
7/1/2014 6:00;0;0
7/1/2014 6:30;0;0
7/1/2014 7:00;0;0
7/1/2014 7:30;0;0
7/1/2014 8:00;0;0
7/1/2014 8:30;0;0
7/1/2014 9:00;0;0
7/1/2014 9:30;0;0
7/1/2014 10:00;0;0
7/1/2014 10:30;0;0
7/1/2014 11:00;0;0
7/1/2014 11:30;0;0
7/1/2014 12:00;0;0
7/1/2014 12:30;0;0
7/1/2014 13:00;0;0
7/1/2014 13:30;0;0
7/1/2014 14:00;0;0
7/1/2014 14:30;0;0
7/1/2014 15:00;0;0
7/1/2014 15:30;1.47;0
7/1/2014 16:00;35.9;0
7/1/2014 16:30;91.9;0
7/1/2014 17:00;107.6;0
7/1/2014 17:30;55.32;0
7/1/2014 18:00;215.3;369.8
7/1/2014 18:30;345.3;555
7/1/2014 19:00;424.1;597.3
7/1/2014 19:30;516.1;779.9
7/1/2014 20:00;524.3;797.4
7/1/2014 20:30;352.5;401.2
7/1/2014 21:00;483.1;764.5
7/1/2014 21:30;436.2;743.9
7/1/2014 22:00;392.5;717
7/1/2014 22:30;386;698.5
7/1/2014 23:00;301.5;626
7/1/2014 23:30;209.3;526.1
8/1/2014 0:00;137.7;405
8/1/2014 0:30;36.46;7.76
8/1/2014 1:00;2.85;0
8/1/2014 1:30;0;0
8/1/2014 2:00;0;0
8/1/2014 2:30;0;0
8/1/2014 3:00;0;0
8/1/2014 3:30;0;0
8/1/2014 4:00;0;0
8/1/2014 4:30;0;0
8/1/2014 5:00;0;0
8/1/2014 5:30;0;0
8/1/2014 6:00;0;0
8/1/2014 6:30;0;0
8/1/2014 7:00;0;0
8/1/2014 7:30;0;0
8/1/2014 8:00;0;0
8/1/2014 8:30;0;0
8/1/2014 9:00;0;0
8/1/2014 9:30;0;0
8/1/2014 10:00;0;0
8/1/2014 10:30;0;0
8/1/2014 11:00;0;0
8/1/2014 11:30;0;0
8/1/2014 12:00;0;0
8/1/2014 12:30;0;0
8/1/2014 13:00;0;0
8/1/2014 13:30;0;0
8/1/2014 14:00;0;0
8/1/2014 14:30;0;0
8/1/2014 15:00;0;0
8/1/2014 15:30;1.07;0
8/1/2014 16:00;50.49;3.25
8/1/2014 16:30;137.3;410.7
8/1/2014 17:00;144.7;0
8/1/2014 17:30;319.5;591.1
8/1/2014 18:00;345.9;332.6
8/1/2014 18:30;285.7;18.18
8/1/2014 19:00;247.2;0
8/1/2014 19:30;311.7;14.41
8/1/2014 20:00;496.8;383.2
8/1/2014 20:30;114.4;0
8/1/2014 21:00;240.4;0
8/1/2014 21:30;209.7;0
8/1/2014 22:00;412.8;386.1
8/1/2014 22:30;353.8;385.4
8/1/2014 23:00;203.3;268.4
8/1/2014 23:30;221.4;433.1
9/1/2014 0:00;148.9;357.6
9/1/2014 0:30;46.92;0.1
9/1/2014 1:00;2.37;0
9/1/2014 1:30;0;0
9/1/2014 2:00;0;0
9/1/2014 2:30;0;0
9/1/2014 3:00;0;0
9/1/2014 3:30;0;0
9/1/2014 4:00;0;0
9/1/2014 4:30;0;0
9/1/2014 5:00;0;0
9/1/2014 5:30;0;0
9/1/2014 6:00;0;0
9/1/2014 6:30;0;0
9/1/2014 7:00;0;0
9/1/2014 7:30;0;0
9/1/2014 8:00;0;0
9/1/2014 8:30;0;0
9/1/2014 9:00;0;0
9/1/2014 9:30;0;0
9/1/2014 10:00;0;0
9/1/2014 10:30;0;0
9/1/2014 11:00;0;0
9/1/2014 11:30;0;0
9/1/2014 12:00;0;0
9/1/2014 12:30;0;0
9/1/2014 13:00;0;0
9/1/2014 13:30;0;0
9/1/2014 14:00;0;0
9/1/2014 14:30;0;0
9/1/2014 15:00;0;0
9/1/2014 15:30;0.58;0
