data;ghi;dni
2/1/2014 8:00;0;0
2/1/2014 8:15;0;0
2/1/2014 8:30;0;0
2/1/2014 8:45;0;0
2/1/2014 9:00;0;0
2/1/2014 9:15;0;0
2/1/2014 9:30;0;0
2/1/2014 9:45;0;0
2/1/2014 10:00;0;0
2/1/2014 10:15;0;0
2/1/2014 10:30;0;0
2/1/2014 10:45;0;0
2/1/2014 11:00;0;0
2/1/2014 11:15;0;0
2/1/2014 11:30;0;0
2/1/2014 11:45;0;0
2/1/2014 12:00;0;0
2/1/2014 12:15;0;0
2/1/2014 12:30;0;0
2/1/2014 12:45;0;0
2/1/2014 13:00;0;0
2/1/2014 13:15;0;0
2/1/2014 13:30;0;0
2/1/2014 13:45;0;0
2/1/2014 14:00;0;0
2/1/2014 14:15;0;0
2/1/2014 14:30;0;0
2/1/2014 14:45;0;0
2/1/2014 15:00;0;0
2/1/2014 15:15;0;0
2/1/2014 15:30;1.23;0
2/1/2014 15:45;23.63;186.9
2/1/2014 16:00;65.37;475.8
2/1/2014 16:15;110.7;606.7
2/1/2014 16:30;149.7;649
2/1/2014 16:45;192.4;699.2
2/1/2014 17:00;195.5;594.9
2/1/2014 17:15;280;764.3
2/1/2014 17:30;244.9;567.6
2/1/2014 17:45;313;709.5
2/1/2014 18:00;334.5;703.9
2/1/2014 18:15;374.7;776.3
2/1/2014 18:30;416.3;846
2/1/2014 18:45;407.3;792.1
2/1/2014 19:00;440.7;834
2/1/2014 19:15;463.8;867
2/1/2014 19:30;473.4;868
2/1/2014 19:45;479;867
2/1/2014 20:00;480.3;861
2/1/2014 20:15;479.1;855
2/1/2014 20:30;486.4;867
2/1/2014 20:45;479.3;842
2/1/2014 21:00;475;845
2/1/2014 21:15;417.9;712.7
2/1/2014 21:30;435.8;772.5
2/1/2014 21:45;412.3;703.6
2/1/2014 22:00;416;727.5
2/1/2014 22:15;313.7;515.2
2/1/2014 22:30;348.4;629.9
2/1/2014 22:45;290.7;548.4
2/1/2014 23:00;247.2;541.3
2/1/2014 23:15;266.6;680
2/1/2014 23:30;232.5;648.5
2/1/2014 23:45;173.7;552.2
3/1/2014 0:00;89.5;241.1
3/1/2014 0:15;29.11;12.97
3/1/2014 0:30;24.83;30.79
3/1/2014 0:45;8.63;0
3/1/2014 1:00;0;0
3/1/2014 1:15;0;0
3/1/2014 1:30;0;0
3/1/2014 1:45;0;0
3/1/2014 2:00;0;0
3/1/2014 2:15;0;0
3/1/2014 2:30;0;0
3/1/2014 2:45;0;0
3/1/2014 3:00;0;0
3/1/2014 3:15;0;0
3/1/2014 3:30;0;0
3/1/2014 3:45;0;0
3/1/2014 4:00;0;0
3/1/2014 4:15;0;0
3/1/2014 4:30;0;0
3/1/2014 4:45;0;0
3/1/2014 5:00;0;0
