data,rgh,temperatura,humedad,velocidad
1/3/2019 0:00:00,-0.569,22.38,97.7,3.74
1/3/2019 0:03:00,-0.251,21.6,101.1,6.315
1/3/2019 0:06:00,-0.732,21.28,101.1,6.005
1/3/2019 0:09:00,-1.837,21.21,101.1,6.218
1/3/2019 0:12:00,-3.046,21.21,101.1,4.602
1/3/2019 0:15:00,-3.841,21.14,101.1,4.795
1/3/2019 0:18:00,-4.018,21.18,101.1,4.937
1/3/2019 0:21:00,-4.192,21.12,101.1,4.731
1/3/2019 0:24:00,-4.477,21.12,101.1,3.764
1/3/2019 0:27:00,-4.569,21.14,101.1,3.023
1/3/2019 0:30:00,-5.109,21.08,101.1,3.548
1/3/2019 0:33:00,-5.075,21.12,101.1,3.113
1/3/2019 0:36:00,-4.998,21.12,101.1,2.522
1/3/2019 0:39:00,-5.7,21.36,101.1,3.366
1/3/2019 0:42:00,-6.998,21.22,101.1,1.067
1/3/2019 0:45:00,-7.145,21.22,101.1,1.421
1/3/2019 0:48:00,-7.755,21.47,101.1,0.924
1/3/2019 0:51:00,-7.755,21.41,101.1,1.09
1/3/2019 0:54:00,-8.35,21.56,101.1,0.478
1/3/2019 0:57:00,-7.545,21.41,101.1,1.859
1/3/2019 1:00:00,-7.678,21.32,101.1,0
1/3/2019 1:03:00,-6.802,21.31,101.2,1.672
1/3/2019 1:06:00,-7.16,21.26,101.1,1.642
1/3/2019 1:09:00,-8.22,21.29,101.1,0.304
1/3/2019 1:12:00,-8.56,21.7,101.2,0.479
1/3/2019 1:15:00,-7.8,21.48,101.1,0.828
1/3/2019 1:18:00,-7.415,21.46,101.1,1.801
1/3/2019 1:21:00,-7.012,21.27,101.1,2.008
1/3/2019 1:24:00,-7.73,21.48,101.1,0.721
1/3/2019 1:27:00,-7.471,21.48,101.1,1.52
1/3/2019 1:30:00,-8.15,21.5,101.1,1.011
1/3/2019 1:33:00,-8.31,21.42,101.1,1.028
1/3/2019 1:36:00,-7.574,23.49,103.1,1.605
1/3/2019 1:39:00,-7.73,23.53,103.1,1.344
1/3/2019 1:42:00,-7.763,23.47,103.1,0.158
1/3/2019 1:45:00,-8.03,23.66,103.3,0.074
1/3/2019 1:48:00,-8.31,23.49,103.1,0.009
1/3/2019 1:51:00,-8.21,23.58,103.1,0.493
1/3/2019 1:54:00,-7.97,23.66,103.1,0.477
1/3/2019 1:57:00,-8.42,23.68,103.1,0.054
1/3/2019 2:00:00,-7.582,23.65,103.1,1.28
1/3/2019 2:03:00,-8.18,24.19,103.5,0.011
1/3/2019 2:06:00,-7.33,23.99,103.5,0.842
1/3/2019 2:09:00,-7.401,24.08,103.5,0.857
1/3/2019 2:12:00,-7.774,24.55,92.5,0.613
1/3/2019 2:15:00,-7.859,24.77,89.5,0.328
1/3/2019 2:18:00,-8.11,24.7,91,0.106
1/3/2019 2:21:00,-8.44,24.7,92.4,0.143
1/3/2019 2:24:00,-8.35,24.48,93.4,1.289
1/3/2019 2:27:00,-8.23,24.45,89.3,1.6
1/3/2019 2:30:00,-8.71,24.07,91.5,0.213
1/3/2019 2:33:00,-8.76,24.07,91,0.571
1/3/2019 2:36:00,-8.58,24.22,90.5,1.095
1/3/2019 2:39:00,-8.17,24.01,90.8,1.464
1/3/2019 2:42:00,-8.57,23.9,88.9,1.827
1/3/2019 2:45:00,-8.8,24.04,89.4,1.169
1/3/2019 2:48:00,-8.58,23.9,88.6,1.009
1/3/2019 2:51:00,-8.42,24.49,87.6,0.862
1/3/2019 2:54:00,-8.41,24.15,88.9,1.217
1/3/2019 2:57:00,-8.83,24.27,87.9,0.082
1/3/2019 3:00:00,-8.65,24.4,87.5,0.364
1/3/2019 3:03:00,-8.59,24.21,88.7,1.279
1/3/2019 3:06:00,-8.8,24.12,89.5,0.72
1/3/2019 3:09:00,-8.52,24.12,88.7,1.181
1/3/2019 3:12:00,-8.66,23.96,90.3,1.011
1/3/2019 3:15:00,-8.83,23.97,88.2,0.82
1/3/2019 3:18:00,-8.85,24.03,89.9,0.646
1/3/2019 3:21:00,-8.98,24.24,89.1,0.056
1/3/2019 3:24:00,-9.02,24.27,89.2,0.922
1/3/2019 3:27:00,-8.96,24.24,89.3,0.447
1/3/2019 3:30:00,-8.63,24.32,89.7,0.346
1/3/2019 3:33:00,-8.81,24.19,88.6,0.387
1/3/2019 3:36:00,-8.47,24.24,90.1,0
1/3/2019 3:39:00,-8.37,24.23,88.2,1.193
1/3/2019 3:42:00,-8.17,24.28,90.1,0.281
1/3/2019 3:45:00,-7.796,24.19,87.9,0.579
1/3/2019 3:48:00,-7.781,24.28,88.4,0.264
1/3/2019 3:51:00,-8.25,24.28,88.5,0.436
1/3/2019 3:54:00,-8.37,24.27,88.3,0.005
1/3/2019 3:57:00,-8.41,24.54,86.1,0.176
1/3/2019 4:00:00,-7.977,24.36,87.5,1.295
1/3/2019 4:03:00,-7.6,24.36,86.3,1.454
1/3/2019 4:06:00,-7.556,24.39,87.1,1.573
1/3/2019 4:09:00,-7.648,24.24,87.4,1.485
1/3/2019 4:12:00,-7.807,24.41,85.5,1.091
