data;potencia;rgh;temperatura
22/1/2019 17:00;655.4;2168.1;36.6
22/1/2019 18:00;472.75;1274;36.9
22/1/2019 19:00;149;326.1;34.6
23/1/2019 10:00;1992.85;2643.4;32
23/1/2019 11:00;2314.9;3253.6;34.7
23/1/2019 12:00;2484.35;3580;35.7
23/1/2019 13:00;2506.55;3770.7;36.5
23/1/2019 14:00;508.25;2527.1;36.9
23/1/2019 15:00;392.1;342.5;32.9
23/1/2019 16:00;856.8;563.3;28.9
23/1/2019 17:00;729.2;1216;30.3
23/1/2019 18:00;327;652;30.8
24/1/2019 7:00;99.45;109.2;22.6
24/1/2019 8:00;566.35;476.9;23.5
24/1/2019 9:00;692.45;802.9;25.2
24/1/2019 10:00;1326.75;1333.6;27
24/1/2019 11:00;912.3;2724.2;29.8
24/1/2019 12:00;516.05;3245.3;32
24/1/2019 13:00;2432.05;3076.6;31.7
24/1/2019 14:00;2496.3;3496.3;32.4
24/1/2019 15:00;2463.25;3543.9;32.6
24/1/2019 16:00;1819.15;3062.6;32.9
24/1/2019 17:00;1210.4;2324.1;33.4
24/1/2019 18:00;443.25;969.2;33.2
24/1/2019 19:00;33.95;255.2;32.5
25/1/2019 7:00;91.6;197.8;23.3
25/1/2019 8:00;765.35;928.8;24.8
25/1/2019 9:00;1465.2;1838.3;27
25/1/2019 10:00;2015.7;2644.3;29.5
25/1/2019 11:00;2395.1;3080.6;31.3
25/1/2019 12:00;2505.5;3778.7;33.6
25/1/2019 13:00;2506.2;2248.8;33.8
25/1/2019 14:00;2491.55;1816.8;33.8
25/1/2019 15:00;2201.85;3168.5;35.8
25/1/2019 16:00;1741.95;3158.9;36.2
25/1/2019 17:00;1130.75;2406.2;36.2
25/1/2019 18:00;35.15;920.1;34.5
25/1/2019 19:00;212.65;213.7;30.9
26/1/2019 7:00;103.45;195.3;24.3
26/1/2019 8:00;754.55;940.5;26
26/1/2019 9:00;1457.5;1799.7;28.1
26/1/2019 10:00;2099.25;2356.6;29.8
26/1/2019 11:00;2506.1;2726.7;31.3
26/1/2019 12:00;2505.5;3665.3;32.7
26/1/2019 13:00;2506.25;3527.1;33.8
26/1/2019 14:00;2484.15;3318.6;35.4
26/1/2019 15:00;2183.5;2971.4;34.9
26/1/2019 16:00;468.35;2998.3;35.3
26/1/2019 17:00;1164.75;2246.1;35.2
26/1/2019 18:00;753.4;1268.6;34.7
26/1/2019 19:00;33.4;443.7;30.6
27/1/2019 7:00;80.4;197.4;23.9
27/1/2019 8:00;769;951.6;26.1
27/1/2019 9:00;1509.25;1839.6;27.9
27/1/2019 10:00;2083.85;2659.1;29.9
27/1/2019 11:00;2439;3336.1;31.8
27/1/2019 12:00;2506.5;3412.7;33.1
27/1/2019 13:00;2506.6;2706.4;33.6
27/1/2019 14:00;2502;2220.4;33.7
27/1/2019 15:00;2300.8;702.9;33.2
27/1/2019 16:00;1746.75;426.9;27.5
27/1/2019 17:00;1292.7;464.1;26.9
27/1/2019 18:00;476.45;601.3;26.2
27/1/2019 19:00;32.5;191.8;26.1
28/1/2019 14:00;2486.75;2696.6;31.9
28/1/2019 15:00;2275.85;3517.3;32.5
28/1/2019 16:00;1915.85;2866.9;32.8
28/1/2019 17:00;1313.85;2278.2;33
28/1/2019 18:00;593.6;1294.1;32.2
28/1/2019 19:00;96.65;496.7;31.6
29/1/2019 7:00;97.2;184.8;23.9
29/1/2019 8:00;769.15;917.9;26.9
29/1/2019 9:00;1440.6;1780;29.2
29/1/2019 10:00;2000.55;2582.1;31
29/1/2019 11:00;2374.15;3237.7;31.9
29/1/2019 12:00;2506.2;3706.3;33
29/1/2019 13:00;1503.55;3931.5;33.8
29/1/2019 14:00;2506.3;3882.7;34.7
29/1/2019 15:00;2295.9;3545.8;35.2
29/1/2019 16:00;1840.75;3053.9;35.4
29/1/2019 17:00;1232.3;2310.5;35.4
29/1/2019 18:00;482.85;1442.3;35.3
29/1/2019 19:00;33.55;392.1;34.7
30/1/2019 7:00;52;147.4;24.6
30/1/2019 8:00;764.45;900.3;27
30/1/2019 9:00;1442.4;1773.8;29.5
30/1/2019 10:00;1960.8;2600.3;31.6
30/1/2019 11:00;2357.65;3238.8;32.2
30/1/2019 12:00;2500.85;3672;33.5
30/1/2019 13:00;1527.6;3893.6;34.5
30/1/2019 14:00;2478.35;3895.8;35.3
30/1/2019 15:00;2288.75;3627.7;36.2
30/1/2019 16:00;1887.65;3020.5;36.7
30/1/2019 17:00;1210.65;2265.6;36.5
30/1/2019 18:00;173.15;1515.2;37.1
30/1/2019 19:00;93.65;226.4;35.6
31/1/2019 7:00;88.9;123.9;23.7
31/1/2019 8:00;692.6;821.4;26.2
31/1/2019 9:00;1394.05;1619.6;28.5
31/1/2019 10:00;1897.15;2540.9;30.9
31/1/2019 11:00;2313.35;3152.1;32.9
31/1/2019 12:00;2490;3655.4;34
31/1/2019 13:00;2246.95;3809.6;35.3
31/1/2019 14:00;743.55;3631.4;35.5
31/1/2019 15:00;1698.25;2476;35.9
31/1/2019 16:00;397.6;1859.2;35.8
31/1/2019 17:00;519.05;1343.6;35.3
31/1/2019 18:00;566.85;958.7;34.4
31/1/2019 19:00;116.6;436.7;34.4
2/2/2019 6:00;0;0;24.9
2/2/2019 7:00;155.85;113.2;25
2/2/2019 8:00;930.4;565.2;26.3
2/2/2019 9:00;780.6;1436.1;28.2
2/2/2019 10:00;1932.8;2550.1;30.8
2/2/2019 11:00;2332.25;3190.6;33.9
2/2/2019 12:00;2498.55;3728;34.5
2/2/2019 13:00;2500.35;3870.8;35.9
2/2/2019 14:00;561.1;3584.8;36.4
2/2/2019 15:00;645.25;1893.6;36.1
2/2/2019 16:00;336.9;1502.2;36
2/2/2019 17:00;240.9;126.7;32.4
2/3/2019 6:00;0;0;17.1
2/3/2019 7:00;74.5;43.6;17
2/3/2019 8:00;252.5;685;19.3
2/3/2019 9:00;673;1575;22
2/3/2019 10:00;927.95;2404.3;25.5
2/3/2019 11:00;535.7;3118.6;28.8
2/3/2019 12:00;275.4;3554;30.7
2/3/2019 13:00;326.65;3705.3;32.2
2/3/2019 14:00;618.5;3599.2;33.2
2/3/2019 15:00;1684.05;3309.9;33.7
2/3/2019 16:00;1281;2713.6;34
2/3/2019 17:00;1172.05;1960.6;34.3
2/3/2019 18:00;161.1;1135.4;33.2
2/3/2019 19:00;0;276.7;31.3
2/4/2019 13:00;0;698.4;24.9
2/4/2019 14:00;1253.1;628.4;24.1
2/4/2019 15:00;2264.7;301.3;22
2/4/2019 16:00;1889.95;268.9;21.7
2/4/2019 17:00;1388.15;143.9;21.5
2/4/2019 18:00;253.6;65.7;21
2/4/2019 19:00;12.45;15.1;20.8
2/5/2019 8:00;69.8;146.5;21.5
2/5/2019 9:00;813.85;594.4;22.7
2/5/2019 10:00;560.35;1132.3;23.8
2/5/2019 11:00;1138.95;1263.2;25.3
2/5/2019 12:00;939.25;918.1;24.9
2/5/2019 13:00;1667.8;1904.9;26.3
2/5/2019 14:00;724.15;1726.9;26.3
2/5/2019 15:00;1149.3;2248.2;27.1
2/5/2019 16:00;670.2;1702.6;27.2
2/5/2019 17:00;1034;1016.9;27.3
2/5/2019 18:00;309.35;283;26.3
2/5/2019 19:00;33;0;24.3
2/6/2019 6:00;0;0;0
2/6/2019 7:00;132.3;0;0
2/6/2019 8:00;777.6;117.6;14.9
2/6/2019 9:00;1468.15;716.5;16.4
2/6/2019 10:00;2034.85;1410.3;18.2
2/6/2019 11:00;2470.05;1996;19.7
2/6/2019 12:00;2506.2;2166.7;20.6
2/6/2019 13:00;2506.1;2163.7;21.4
2/6/2019 14:00;2505.35;1732.6;21.8
2/6/2019 15:00;2281.9;1750;22
2/6/2019 16:00;1819.45;1441.7;22.1
2/6/2019 17:00;1246.6;758.5;21.8
2/6/2019 18:00;530.45;139.9;20.9
2/6/2019 19:00;24.65;0;18.9
2/7/2019 6:00;0;0;0
2/7/2019 7:00;55.3;0;0
2/7/2019 8:00;758;0;0
2/7/2019 9:00;1758.7;0;0
2/7/2019 10:00;2074.7;230.5;16.4
2/7/2019 11:00;2461.75;558.6;18.3
2/7/2019 12:00;2506.6;434.7;18.7
2/7/2019 13:00;2506.15;711;19.9
2/7/2019 14:00;2506.35;738.5;20.4
2/7/2019 15:00;2231.6;678.8;20.8
2/7/2019 16:00;325.45;277.7;20.9
2/7/2019 17:00;1601.15;212.6;21.2
2/7/2019 18:00;201.95;23.2;21
2/7/2019 19:00;26.4;0;19.8
2/8/2019 6:00;0;0;12.7
2/8/2019 7:00;58.1;0.8;10.6
2/8/2019 8:00;717.25;0;0
2/8/2019 9:00;1439.05;0;0
2/8/2019 10:00;2033.2;178.8;10.9
2/8/2019 11:00;2466.8;177.5;10.8
2/8/2019 12:00;2505.45;240.8;10.8
2/8/2019 13:00;2506.4;0;0
2/8/2019 14:00;2474.7;358.7;10.7
2/8/2019 15:00;2279.6;845.7;12.2
2/8/2019 16:00;1816.35;1254.3;12.9
2/8/2019 17:00;1145.25;433.2;12.8
2/8/2019 18:00;464.05;145;11.7
2/8/2019 19:00;33.85;0;0
2/9/2019 6:00;0;0;0
2/9/2019 7:00;62.85;9.6;7.9
2/9/2019 8:00;680.55;0;0
2/9/2019 9:00;1414.3;0;0
2/9/2019 10:00;1968;2045;16
2/9/2019 11:00;2381.95;2656.9;19
2/9/2019 12:00;2005.15;3038.2;21.1
2/9/2019 13:00;2506.5;0;0
2/9/2019 14:00;2501.45;0;0
2/9/2019 15:00;2014.15;0;0
2/9/2019 16:00;1758.05;0;0
2/9/2019 17:00;1196.45;457.1;24.3
2/9/2019 18:00;350.5;125.4;23.5
2/9/2019 19:00;35.55;0;0
2/10/2019 6:00;0;0;26.9
2/10/2019 7:00;0;94.7;27.7
2/10/2019 8:00;0;388.9;28.7
2/10/2019 9:00;0;1346;31.8
2/10/2019 10:00;248.25;2023.1;33
2/10/2019 11:00;224.35;1977;34.4
2/10/2019 12:00;424.6;3082.9;35.8
2/10/2019 13:00;438.3;1895;36.2
2/10/2019 14:00;389.45;1328.1;36
2/10/2019 15:00;495.5;825.2;36.6
2/10/2019 16:00;450.35;484.1;25.6
2/10/2019 17:00;268.95;47.9;25
2/10/2019 18:00;479.5;423.9;24.6
2/10/2019 19:00;51.95;13;24.2
2/11/2019 6:00;0;360;22.8
2/11/2019 7:00;5.4;0;23.7
2/11/2019 8:00;420.4;1059.9;25.3
2/11/2019 9:00;600.6;0;27.2
2/11/2019 10:00;2025.65;0;30
2/11/2019 11:00;2491.2;0;31.4
2/11/2019 12:00;1890.2;0;32.7
2/11/2019 13:00;2272.85;0;33.7
2/11/2019 14:00;1632.95;0;34
2/11/2019 15:00;898;0;34.5
2/11/2019 16:00;1024.8;0;34.8
2/11/2019 17:00;1438.65;0;34.8
2/11/2019 18:00;368.5;0;34.5
2/11/2019 19:00;21.8;0;33.4
2/12/2019 6:00;0;0;17.4
2/12/2019 7:00;16.35;0;19.1
2/12/2019 8:00;126.7;0;22.2
2/12/2019 9:00;220.35;1116.6;24.2
2/12/2019 10:00;823.8;607.7;26.2
2/12/2019 11:00;1353.6;0;28.2
2/12/2019 12:00;1242.8;0;29.8
2/12/2019 13:00;1720.6;0;30.9
2/12/2019 14:00;1297.3;0;32.1
2/12/2019 15:00;1132.65;0;31.9
2/12/2019 16:00;704.95;0;31.5
2/12/2019 17:00;568.45;0;30.8
2/12/2019 18:00;282.6;0;29.8
2/12/2019 19:00;69.45;0;28.7
13/2/2019 7:00;54;93.9;18.6
13/2/2019 8:00;807.65;767;19.5
13/2/2019 9:00;1462.5;1695.2;22.2
13/2/2019 10:00;2034.3;2527.7;24.4
13/2/2019 11:00;2446.25;3216;26.8
13/2/2019 12:00;2506.45;2843;27.7
13/2/2019 13:00;1961.2;2210.1;28.4
13/2/2019 14:00;2506.15;3282.9;30.1
13/2/2019 15:00;2335.15;2893.6;31.1
13/2/2019 16:00;2298.5;1619.6;31.3
13/2/2019 17:00;1458.75;808.4;29.1
13/2/2019 18:00;231.45;1385.8;29.8
13/2/2019 19:00;9.5;341.9;29.8
14/2/2019 7:00;96.55;60;21.8
14/2/2019 8:00;427.75;495.9;22.7
14/2/2019 9:00;217.05;1107.8;24.1
14/2/2019 10:00;393.5;957.5;24.5
14/2/2019 11:00;2483.1;2171.2;27.4
14/2/2019 13:00;2246.5;3410.8;30.3
14/2/2019 14:00;1562.4;2934.2;30.4
14/2/2019 15:00;2146.9;2958;30.7
14/2/2019 16:00;472.2;1393.6;30.6
14/2/2019 17:00;95.7;459.9;29.4
14/2/2019 18:00;53.1;106.8;28.2
14/2/2019 19:00;4.6;64.6;25.5
15/2/2019 7:00;198.3;40.3;23.5
15/2/2019 8:00;28.65;253.5;23.8
15/2/2019 9:00;404.5;361.9;23.7
15/2/2019 10:00;1269.4;667.8;23.4
15/2/2019 11:00;2040.3;1475.9;25.1
15/2/2019 12:00;1690.75;1991.8;25.5
15/2/2019 13:00;1187.55;2815.7;27.4
15/2/2019 14:00;1093.45;888.5;27.3
15/2/2019 15:00;830.15;1142.8;26.6
15/2/2019 16:00;2001.4;2100.9;27.5
15/2/2019 17:00;824.75;2275.1;28.2
15/2/2019 18:00;495.3;1223.8;27.9
15/2/2019 19:00;18.35;330.7;27.2
16/2/2019 7:00;249.2;62.8;19.5
16/2/2019 8:00;295.55;593.8;20.4
16/2/2019 9:00;1608.35;1123.9;22.3
16/2/2019 10:00;1636.6;1749.4;23.8
16/2/2019 11:00;2060.25;2511;26.4
16/2/2019 12:00;2198.7;2733.9;27.7
16/2/2019 13:00;1908.15;3053.5;28.6
16/2/2019 14:00;2087.7;2663.1;28.8
16/2/2019 15:00;715.2;2180.8;29.5
16/2/2019 16:00;195.2;1096.6;29
16/2/2019 17:00;328.4;986.8;24.6
16/2/2019 18:00;108;138.8;22.2
16/2/2019 19:00;2.45;145.6;20.4
18/2/2019 7:00;100.45;78.3;20
18/2/2019 8:00;351.5;819.2;22
18/2/2019 9:00;1071.7;1553.4;23.9
18/2/2019 10:00;2314;2090;26.5
