data;air_temp;relhum;press;windsp;winddir;max_windsp;precipitation
2/1/2014 8:00;7.32;56.56;1010;1.8;43.61;3.7;0
2/1/2014 8:30;6.7;58.9;1010;1.86;46.6;3.4;0
2/1/2014 9:00;6.1;61;1010;1.34;338.9;3.1;0
2/1/2014 9:30;6.42;59.74;1010;2.8;50.59;4.3;0
2/1/2014 10:00;6.64;59.8;1010;2.16;21;2.8;0
2/1/2014 10:30;6.2;61.8;1010;2.08;46.8;3.2;0
2/1/2014 11:00;6.2;62.8;1010;1.72;34.79;3.1;0
2/1/2014 11:30;5.7;63.62;1010;2.42;46.6;3.6;0
2/1/2014 12:00;5.96;64.02;1010;2.72;41.39;4;0
2/1/2014 12:30;5.5;64.82;1010;2;63.02;3.2;0
2/1/2014 13:00;4.2;69.8;1009;1.02;179.2;2.5;0
2/1/2014 13:30;2.8;73.14;1009;1.9;190.9;2.7;0
2/1/2014 14:00;2.56;75.74;1010;1.86;183.2;2.3;0
2/1/2014 14:30;2.96;72.96;1010;2.06;232.5;3.1;0
2/1/2014 15:00;3.48;73.42;1010;1.72;185.2;2.3;0
2/1/2014 15:30;2.7;75.54;1010;1.78;193.6;2.3;0
2/1/2014 16:00;3.4;71.92;1010;1.2;69.25;2.4;0
2/1/2014 16:30;6.02;64.58;1010;0.76;96.4;1.3;0
2/1/2014 17:00;9.42;53.86;1010;0.3;87.3;0.5;0
2/1/2014 17:30;11.5;46.82;1010;1.02;259.2;1.4;0
2/1/2014 18:00;12.6;44.06;1011;0.4;341.1;0.7;0
2/1/2014 18:30;13.14;42.5;1010;0.94;272.2;1.2;0
2/1/2014 19:00;15.14;37.5;1010;0.5;175.7;0.8;0
2/1/2014 19:30;16.5;33.84;1010;0.88;168.7;1.4;0
2/1/2014 20:00;16.54;32.84;1009;1.08;304.1;1.7;0
2/1/2014 20:30;17.24;33.82;1009;0.36;125;0.7;0
2/1/2014 21:00;17.86;32.72;1008;0.48;332.6;0.9;0
2/1/2014 21:30;17.88;32.5;1008;1.92;320.6;2.8;0
2/1/2014 22:00;18;32.86;1007;1.7;300.8;2.2;0
2/1/2014 22:30;18.1;32.94;1007;1.26;285.4;2;0
2/1/2014 23:00;18.1;32.82;1007;1.16;315.1;1.7;0
2/1/2014 23:30;18.1;32.22;1007;1.62;296.4;2;0
3/1/2014 0:00;17.8;33.52;1007;1.64;288.2;2;0
3/1/2014 0:30;16.92;35.24;1006;1.38;303;1.9;0
3/1/2014 1:00;15.7;38.16;1006;0.32;204.1;0.5;0
3/1/2014 1:30;13.4;43.64;1006;0.5;83;0.8;0
